yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
34692023,3469,2023,GA0010100,GA0010100,,N,N,,I,BAXLEY,BAXLEY PD,Baxley,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,4954,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,1,10,1,3,4,2.0,2.8,2018-01-01,2018-12-01,2018-12-01,2019-10-01,2019-10-01,2019-11-01,N,APPLING,Not Specified,Y,Y,Y
34712023,3471,2023,GA0020000,GA0020000,,N,N,,I,ATKINSON,ATKINSON CO SO PEARSON,Atkinson,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,5131,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,12,21,1,8,9,1.9,5.8,2018-01-01,2019-10-01,2019-10-01,2020-02-01,2020-02-01,2020-02-01,N,ATKINSON,Not Specified,Y,Y,Y
34752023,3475,2023,GA0030100,GA0030100,,N,N,,I,ALMA,ALMA PD,Alma,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,3482,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,4,2,6,4.9,5.5,2018-01-01,2018-11-01,2018-11-01,2019-03-01,2019-03-01,2019-03-01,N,BACON,Not Specified,Y,Y,Y
34772023,3477,2023,GA0040100,GA0040100,,N,N,,I,NEWTON,NEWTON PD,Newton,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,571,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,1.8,1.8,2018-01-01,2021-01-01,,,,,N,BAKER,Not Specified,Y,Y,Y
34782023,3478,2023,GA0050000,GA0050000,,N,N,,I,BALDWIN,BALDWIN COUNTY SHERIFF OFFICE,Baldwin,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,26912,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,47,20,67,13,35,48,2.2,4.3,2018-01-01,2019-10-01,2019-10-01,2019-12-01,2019-12-01,2019-12-01,N,BALDWIN,Not Specified,Y,Y,Y
34792023,3479,2023,GA0050100,GA0050100,,N,N,,I,MILLEDGEVILLE,MILLEDGEVILLE PD,Milledgeville,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,16728,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,27,2,29,3,14,17,1.8,2.7,2018-01-01,2019-02-01,2019-02-01,2019-06-01,2019-06-01,2020-02-01,N,BALDWIN,Not Specified,Y,Y,Y
34812023,3481,2023,GA0050300,GA0050300,,N,N,,I,GA COLLEGE & STATE UNIVE,GEORGIA COLLEGE & STATE UNIV PUB SAF,Georgia College and State University,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,University or College,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,3,9,2,5,7,0,0,2018-01-01,2019-09-01,2019-09-01,2020-04-01,2020-04-01,2020-04-01,N,BALDWIN,Not Specified,Y,Y,Y
34822023,3482,2023,GA0050400,GA0050400,,N,N,,I,GEORGIA MILITARY COLLEGE,GEORGIA MILITARY COLLEGE,Georgia Military College,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,University or College,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,1,2,1,1,2,0,0,2018-01-01,2020-02-01,2020-02-01,,,,N,BALDWIN,Not Specified,Y,Y,Y
34832023,3483,2023,GA0060000,GA0060000,,N,N,,I,BANKS,BANKS CO SO HOMER,Banks,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,17692,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,50,1,51,8,10,18,3.3,3.9,2018-01-01,2019-09-01,2019-09-01,2020-06-01,2020-06-01,2020-06-01,N,BANKS,Not Specified,Y,Y,Y
34842023,3484,2023,GA0070000,GA0070000,,N,N,,I,BARROW,BARROW CO SO WINDER,Barrow,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,57713,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,115,31,146,17,46,63,2.3,3.6,2018-01-01,2018-01-01,2018-01-01,2020-05-01,2020-05-01,2020-05-01,N,BARROW,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
